"id","username","location","relationship_type","target"
402,"irredeemableyde","Macy Indiana","follower","roodypazoo"
403,"potusg","⬇️Join @OHMichael’s Meme Group","follower","roodypazoo"
404,"lisarkat2","DFW TEXAS","follower","roodypazoo"
405,"jayjaynn","United State","follower","roodypazoo"
406,"bostonrunner","","follower","roodypazoo"
407,"tony_lawrence","Minnesota","follower","roodypazoo"
408,"bob_eckert","156.5K Total Followers","follower","roodypazoo"
409,"tianlinxiang2022","","follower","roodypazoo"
410,"mansure_7","——TᗩKE ᗪOᗯᑎ TᕼE ᑕᑕᑭ—— 🫵🏻","follower","roodypazoo"
411,"dannypete","CA","follower","roodypazoo"
412,"deployable","Usa","follower","roodypazoo"
413,"jaybaldwin","Miami Florida","follower","roodypazoo"
414,"spfc4237","","follower","roodypazoo"
415,"oleskyiv","Ukraine 🇺🇦 🔱","follower","roodypazoo"
416,"lisagloon001","","follower","roodypazoo"
417,"republic1941","Ultra MEGA America","follower","roodypazoo"
418,"cj198616_","美国纽约曼哈顿","follower","roodypazoo"
419,"wzbp7","","follower","roodypazoo"
420,"mrddmia","","following","roodypazoo"
421,"gettr","New York, NY","following","roodypazoo"
422,"quitefrankly","New York","following","roodypazoo"
423,"zerohedge","","following","roodypazoo"
424,"brateconomics","Lynchburg, VA","following","roodypazoo"
425,"citizenfreepres","","following","roodypazoo"
426,"ggflyme2themoon","The space between WICKED LIES","following","roodypazoo"
427,"briantkennedy","USA","following","roodypazoo"
428,"lfs6b","New York, New York","following","roodypazoo"
429,"russvought","","following","roodypazoo"
430,"cainsider","California, USA","following","roodypazoo"
431,"ilpresidento","United States","following","roodypazoo"
432,"bobmoranartist","UK","following","roodypazoo"
433,"davewalshenergy","","following","roodypazoo"
434,"mrandyngo","US, UK","following","roodypazoo"
435,"mc_muffin","Texas","following","roodypazoo"
436,"cobratate","","following","roodypazoo"
437,"rlenfest1","Maine/Mass/New England","following","roodypazoo"
438,"realamvoice","13276 East Freemont Place Cent","following","roodypazoo"
439,"jmg216","","following","roodypazoo"
440,"jerome_riviere","France","following","roodypazoo"
441,"thelaurenchen","","following","roodypazoo"
442,"tumbleweed1876","CO","following","roodypazoo"
443,"revolvernews","","following","roodypazoo"
444,"benbergquam","","following","roodypazoo"
445,"cis_org","Washington, DC","following","roodypazoo"
446,"redstate","Washington, D.C.","following","roodypazoo"
447,"oann","","following","roodypazoo"
448,"project_veritas","In a bunker, Greater NYC","following","roodypazoo"
449,"newsmax","USA","following","roodypazoo"
450,"thebabylonbee","","following","roodypazoo"
451,"nbs8989","","following","roodypazoo"
452,"trumpwonbiggly","Texas/soviet state of Colorado","following","roodypazoo"
453,"gavinmcinnes","NYC","following","roodypazoo"
454,"johnyboy65","North Yorkshire, UK 🇬🇧","following","roodypazoo"
455,"prinzhessin","Germany","following","roodypazoo"
456,"baghdadbobpsaki","Amerika","following","roodypazoo"
457,"bridgete128","minnesota","following","roodypazoo"
458,"shitbeard","Upthemountaindowntherabbithole","following","roodypazoo"
459,"markdice","MAGA Country","following","roodypazoo"
460,"g2083_i250","","following","roodypazoo"
461,"dineshdsouza","United States","following","roodypazoo"
462,"heyjackass","Chicago","following","roodypazoo"
463,"warroom","Washington, DC","following","roodypazoo"
464,"lauraloomer","Lake County, Florida","following","roodypazoo"
465,"zemmoureric","France","following","roodypazoo"
466,"jackposobiec","Wuhan Lab Rm 7","following","roodypazoo"
467,"mtg4america","Rome, Georgia","following","roodypazoo"
468,"stevebannon","DC","following","roodypazoo"
469,"froony1","","follower","conservestud"
470,"christianwalker101","","follower","conservestud"
471,"88888888888","","follower","conservestud"
472,"lili777","","follower","conservestud"
473,"asdfghjkl400800","NFSC","follower","conservestud"
474,"jmeister_1","Somewhere in the US","follower","conservestud"
475,"iamgodalmighty","","follower","conservestud"
476,"froony","","follower","conservestud"
477,"tagger","Tidewater  Virginia","follower","conservestud"
478,"thefinalgod","","follower","conservestud"
479,"uersery","","follower","conservestud"
480,"jtmeng","","follower","conservestud"
481,"cnnnewsline","Norwich Ipswich Road Norwich","follower","conservestud"
482,"boneblackx","Where you can’t find me.","follower","conservestud"
483,"radish","墙内","follower","conservestud"
484,"nuban007","NFSC","follower","conservestud"
485,"simonhs","新中国联邦","follower","conservestud"
486,"teerolan","","follower","conservestud"
487,"txdroppy","Texas","follower","conservestud"
488,"bluedozer","","follower","conservestud"
489,"sane_person1","","follower","conservestud"
490,"empathlove","","follower","conservestud"
491,"gettr","New York, NY","following","conservestud"
492,"devrid","","following","conservestud"
493,"sandysmithnc","North Carolina, USA","following","conservestud"
494,"christianwalk1r","IG: @christianwalk1r","following","conservestud"
495,"sane_person1","","following","conservestud"
496,"boneblackx","Where you can’t find me.","following","conservestud"
497,"dr_cbyron","HAWAII 🌺IDAHO 🇺🇸ISRAEL 🇮🇱","follower","sap1jep3"
498,"mebreathe_mary","","follower","sap1jep3"
499,"shongettr","southern USA","follower","sap1jep3"
500,"deborahbenjamin1805","","follower","sap1jep3"
501,"chinaxworld","","follower","sap1jep3"
502,"williev1","KENTUCKY  GYPSY","follower","sap1jep3"
503,"alamorealty","","follower","sap1jep3"
504,"americanlaughter","USA","follower","sap1jep3"
505,"jenniferalt3","","follower","sap1jep3"
506,"sarah1_2532","United state","follower","sap1jep3"
507,"jenco009","USA 🇺🇸","follower","sap1jep3"
508,"shirley_6596","","follower","sap1jep3"
509,"treborj","South Carolina","follower","sap1jep3"
510,"daolai","Free Miles Guo Now !","follower","sap1jep3"
511,"thegirlkristine","South Carolina","follower","sap1jep3"
512,"sherriroseal","USA","follower","sap1jep3"
513,"khan2_2219","","follower","sap1jep3"
514,"medicalparamedicredcross","Nyc","follower","sap1jep3"
515,"reneg00667","Houston Texas","follower","sap1jep3"
516,"waynemorrison789","Grosse pointe","follower","sap1jep3"
517,"washieq","Somewhere near you","follower","sap1jep3"
518,"josephshulman","","follower","sap1jep3"
519,"ck123658","","follower","sap1jep3"
520,"johnh57","Born & raised in N.E. Iowa","follower","sap1jep3"
521,"jane97170","","follower","sap1jep3"
522,"shirley_4907","","follower","sap1jep3"
523,"wiscrapidfire","L.Tomahawk/ Minocqua. Wisc.","follower","sap1jep3"
524,"gray56","","follower","sap1jep3"
525,"fashionroom","","follower","sap1jep3"
526,"heriberto22","","follower","sap1jep3"
527,"rebeccanina","","follower","sap1jep3"
528,"libertyclub","","follower","sap1jep3"
529,"michaelsalla127","I'm in TX USA","follower","sap1jep3"
530,"michael_3109","Los Angeles California 🇺🇸","follower","sap1jep3"
531,"peter_grace","USA 🇺🇸","follower","sap1jep3"
532,"elonmusk5k","United States Of America","follower","sap1jep3"
533,"horsielmaga","","follower","sap1jep3"
534,"wendysamson6","Ohio","follower","sap1jep3"
535,"melaniekurtz87","🇺🇸","follower","sap1jep3"
536,"monica_reed82828","Houston Tx","follower","sap1jep3"
537,"bubhux","Hilton Head Island, S.C.","follower","sap1jep3"
538,"hlocomark","Western New York State","follower","sap1jep3"
539,"ygqfyxmg","","follower","sap1jep3"
540,"claralobocarl","","follower","sap1jep3"
541,"susan_3679","","follower","sap1jep3"
542,"christinasmith789","Houston Texas United States","follower","sap1jep3"
543,"maria_4545","","follower","sap1jep3"
544,"edivaldo31","Brasil","follower","sap1jep3"
545,"tsturm","GODS COUNTRY!","follower","sap1jep3"
546,"makulit","Orlando / Manila","follower","sap1jep3"
547,"gettr","New York, NY","following","sap1jep3"
548,"the_dogg","The United States of America","following","sap1jep3"
549,"oann","","following","sap1jep3"
550,"wilsonsharondm","Alabama","following","sap1jep3"
551,"kenbolvari1963","","following","sap1jep3"
552,"dinodj","","following","sap1jep3"
553,"citizencast","X","following","sap1jep3"
554,"onwright","Kentucky 🐎 🥃 🏀","following","sap1jep3"
555,"brjem","","following","sap1jep3"
556,"downloadnews","DNLD.NEWS/VAULT/","following","sap1jep3"
557,"redhat2020","USA FLORIDA","following","sap1jep3"
558,"tsboss","Niagara Falls, NY","following","sap1jep3"
559,"hillbilly1237843","Kentucky","following","sap1jep3"
560,"ericpeters_8787","Santa Clarita California","following","sap1jep3"
561,"dugger1962","","following","sap1jep3"
562,"morganiceni","England","following","sap1jep3"
563,"rebelnewsonline","Canada and the world","following","sap1jep3"
564,"debramulgrew","","following","sap1jep3"
565,"tpusa","The United States of America","following","sap1jep3"
566,"bighor197","","following","sap1jep3"
