username,location,relationship_type,target
zeino99,Manchester England 🇬🇧,follower,moger4
loz3866,kent,follower,moger4
rob49,Rochdale UK,follower,moger4
gudgyal38,,follower,moger4
gille_0310,,follower,moger4
papaartzi,Newcastle Upon Tyne,follower,moger4
sinnys,Aussie,follower,moger4
henrythepious,Earth,follower,moger4
stitch56,Illinois,follower,moger4
raywern,Texas,follower,moger4
jixieshi,,follower,moger4
finbarrok,UK,follower,moger4
memegenerator,,follower,moger4
salfordsan,,follower,moger4
anotheralice,New Zealand,follower,moger4
rickcastlerock,Colorado,follower,moger4
gcttn,,follower,moger4
loiner,Leeds,follower,moger4
nidge007,Dublin,follower,moger4
danieljamesk,,follower,moger4
mdkierum,Texas,follower,moger4
loveallanimals,,follower,moger4
rkerst,California U.S.,follower,moger4
winstonblack,"Right behind you, with a bat.",follower,moger4
takingusaback,"Washington, D.C. 🇺🇸",follower,moger4
sammymarkle,Florida,follower,moger4
billgreen,,follower,moger4
yanceyrobin03,Rome Georgia,follower,moger4
vene305,"Miami, Florida",follower,moger4
general_props,Canada,follower,moger4
bullwickle,Pensacola Florida,follower,moger4
alexgamp,UK,follower,moger4
drumlife1776,nunyabussiness Montana,follower,moger4
tampaguy,,follower,moger4
mg4575,,follower,moger4
jtrobinson,"Coastal Bend, Texas",follower,moger4
sailoramerica,bay city michigan,follower,moger4
chrismax1,Edinburgh,follower,moger4
alaskanart,Somewhere in Alaska,follower,moger4
stevedoberman2,North East,follower,moger4
zhangxiaoling,,follower,moger4
freibert_42,,follower,moger4
kawindahl,,follower,moger4
steve50,,follower,moger4
sheila16,England,follower,moger4
zztopf450,Taxed in USA,follower,moger4
fucile,,follower,moger4
robert_cohen,"Ottawa, Illinois",follower,moger4
jack17,,follower,moger4
lilyk,England 🇬🇧 🏴󠁧󠁢󠁥󠁮󠁧󠁿,follower,moger4
smith_patriot__,"Florida, United states",follower,moger4
covenantman32,null,follower,moger4
jackrags,Nashville,follower,moger4
saints1983,,follower,moger4
bonjour36,,follower,moger4
bverwey,Canada,follower,moger4
bigall123,,follower,moger4
moonlit,,follower,moger4
haitainan,,follower,moger4
caz1070,,follower,moger4
johnecir,South wales,follower,moger4
whiteonrice,Red GA. Despite what you hear.,follower,moger4
hpbalski,Michigan,follower,moger4
barog5,Illinois,follower,moger4
jeffcooper,Florida,follower,moger4
stutheman,"London, England",follower,moger4
binky22,,follower,moger4
yardboss,,follower,moger4
robert321,,follower,moger4
walkandtalk1,USA,follower,moger4
watcher373,ארץ,follower,moger4
karenrunken,"Dunnellon, Fl",follower,moger4
grammymae,VA,follower,moger4
djt1974,Illinois,follower,moger4
dare_trucker,,follower,moger4
guangming123679,,follower,moger4
marthapeb,,follower,moger4
signalnotnoise9,,follower,moger4
abbasfernando,"Toledo, Ohio",follower,moger4
80mstrong,,follower,moger4
ealong59,,follower,moger4
ssessionss,Texas,follower,moger4
pennyhooker,,follower,moger4
jemp5,,follower,moger4
joe1806,"Mercia, England",follower,moger4
jamess18,,follower,moger4
jcrivoceanview,,follower,moger4
panch0villa,,follower,moger4
razela,northern Nevada,follower,moger4
republicae,Republic of North Carolina,follower,moger4
glennster6,Lake Havasu City AZ,follower,moger4
mockingword,,follower,moger4
johnnylongsocks,,follower,moger4
creativeguy4u,43560,follower,moger4
lizverhoeks,Arizona,follower,moger4
jim4me,,follower,moger4
roguetrooper886,Nottinghamshire,follower,moger4
dianapeters,New Jersey,follower,moger4
loved_by_god,,follower,moger4
pachahouse,Birmingham,follower,moger4
jimbyard,Pensacola Florida,follower,moger4
leslie12345,Sierra Foothills,follower,moger4
marysaw22,Mexico for  now,follower,moger4
efremovs,Illinois Chicago 🇺🇸,follower,moger4
orianah,Suffolk uk,follower,moger4
michael_hyland,,follower,moger4
