term,language,offense_level,sightings_number
pancake faces,English,-,308.0
niggera,English,Extremely offensive,308.0
newfies,English,Moderately offensive,307.0
race traitors,English,Highly offensive,307.0
gippos,English,-,306.0
tarded,English,Extremely offensive,305.0
Buckwheat,English,Highly offensive,305.0
Aunt Jemimas,English,Moderately offensive,305.0
mud shark,English,Extremely offensive,305.0
muzzrat,English,Extremely offensive,304.0
retard,English,Highly offensive,302.0
whigger,English,Extremely offensive,302.0
bint,English,Mildly offensive,300.0
bix nood,English,-,300.0
Oriental,English,Extremely offensive,299.0
zipperheads,English,-,298.0
honkies,English,-,298.0
hooknosed,English,-,297.0
tranny,English,Highly offensive,296.0
brown invaders,English,Highly offensive,295.0
nappyhead,English,Extremely offensive,293.0
spergs,English,Mildly offensive,292.0
mussie,English,-,288.0
spiv,English,Moderately offensive,285.0
niggerettes  ,English,-,285.0
porch monkeys,English,Extremely offensive,284.0
niggors,English,-,282.0
cock tease,English,-,282.0
ice monkey,English,Highly offensive,281.0
cripples,English,Highly offensive,281.0
Afro-Saxons,English,Mildly offensive,276.0
redskin,English,Extremely offensive,276.0
wogs,English,-,275.0
ghey,English,Highly offensive,274.0
niccas,English,Highly offensive,265.0
gurriers,English,-,264.0
scags,English,-,264.0
sheepfucker,English,Extremely offensive,263.0
mutah,English,Extremely offensive,263.0
ice monkeys,English,-,262.0
closet fags,English,-,261.0
durka durka,English,-,258.0
battymen,English,-,257.0
Jap,English,Moderately offensive,257.0
yobbo,English,Highly offensive,254.0
coon,English,Extremely offensive,252.0
kyke,English,Extremely offensive,252.0
niggahs,English,Extremely offensive,251.0
diaper head,English,Extremely offensive,249.0
jant,English,Moderately offensive,248.0
Rico Suave,English,Moderately offensive,247.0
Armos,English,-,247.0
mulignan,English,Highly offensive,246.0
hebro,English,Extremely offensive,243.0
krauts,English,Moderately offensive,243.0
camel humpers,English,Extremely offensive,243.0
dykes,English,Highly offensive,243.0
Americoons,English,-,242.0
spides,English,-,242.0
border hoppers,English,-,242.0
boonie,English,Highly offensive,241.0
guineas,English,-,241.0
chavette,English,-,241.0
bluegum,English,Highly offensive,240.0
mulato,English,Highly offensive,236.0
dune coon,English,Extremely offensive,235.0
retardeds,English,-,235.0
smicks,English,-,235.0
scobe,English,Highly offensive,234.0
Northern monkey,English,Highly offensive,232.0
soup takers,English,-,231.0
Japs,English,Mildly offensive,230.0
gipps,English,-,229.0
millie,English,Extremely offensive,229.0
hajjis,English,-,228.0
niggor,English,Extremely offensive,227.0
niggress,English,Extremely offensive,227.0
taqiyya,English,Extremely offensive,226.0
hillbillies,English,-,225.0
sheenies,English,-,220.0
beaner baby,English,Extremely offensive,220.0
pikeys,English,-,219.0
Osamas,English,-,217.0
hooknose,English,-,216.0
lipstick lesbians,English,-,216.0
charvas,English,Mildly offensive,214.0
Chuslim,English,Extremely offensive,211.0
batty boy,English,-,210.0
limeys,English,-,209.0
battyman,English,-,209.0
niglette,English,Extremely offensive,209.0
kykes,English,-,206.0
camel fucker,English,Extremely offensive,206.0
niglets,English,Extremely offensive,205.0
gews,English,-,205.0
fagbags,English,-,204.0
jigaboos,English,Extremely offensive,204.0
scuffer,English,Extremely offensive,204.0
feminazi,English,-,204.0
nigars,English,-,204.0
dune coons,English,-,204.0
blue gums,English,Mildly offensive,202.0
niggerette,English,Extremely offensive,198.0
roundeyes,English,-,198.0
ching chongs,English,Highly offensive,197.0
niggerville,English,Extremely offensive,197.0
spig,English,Extremely offensive,194.0
Africoon,English,Extremely offensive,194.0
musla,English,Extremely offensive,193.0
spiks,English,-,192.0
wexicans,English,-,190.0
oven dodger,English,Highly offensive,190.0
gaylord,English,Highly offensive,189.0
jants,English,-,188.0
nigra,English,Extremely offensive,187.0
honkie,English,Highly offensive,187.0
chonkies,English,Moderately offensive,184.0
hajis,English,-,183.0
pogue,English,Moderately offensive,183.0
muttah,English,Extremely offensive,183.0
pickaninny,English,Extremely offensive,182.0
ghetto monkey,English,-,181.0
spigger,English,Extremely offensive,181.0
gypsy,English,Highly offensive,180.0
sheeny,English,Highly offensive,179.0
bungas,English,-,179.0
blue gum,English,Highly offensive,178.0
pommie,English,Extremely offensive,177.0
mokes,English,-,176.0
spik,English,Extremely offensive,176.0
shemales,English,-,176.0
stump jumpers,English,-,176.0
buckras,English,-,175.0
tree jumper,English,Moderately offensive,174.0
chimp-out,English,Extremely offensive,174.0
Jits,English,Moderately offensive,173.0
Japland,English,Extremely offensive,172.0
negro,English,Extremely offensive,172.0
Sloane Ranger,English,-,172.0
Zionazis,English,-,171.0
sengas,English,-,171.0
jhant,English,Moderately offensive,170.0
Orangies,English,-,169.0
